SEDFXTP_4,U,,sedfxtp_4,https://skywater-pdk.readthedocs.io/en/main/contents/libraries.html,sky130_fd_sc_hd__sedfxtp_4,"Spice_Primitive=X
Spice_Model=sky130_fd_sc_hd__sedfxtp_4
Spice_Netlist_Enabled=Y
Spice_Lib_File=sky130_fd_sc_hd.spice"
Pin,Name,Type,Style,Side
1,CLK,input,clock,left
2,D,input,line,left
3,DE,input,line,left
4,SCD,input,line,left
5,SCE,input,line,left
6,VGND,power_in,line,bottom
7,VNB,power_in,line,bottom
8,VPB,power_in,line,top
9,VPWR,power_in,line,top
10,Q,output,line,right

XOR3_1,U,,xor3_1,https://skywater-pdk.readthedocs.io/en/main/contents/libraries.html,sky130_fd_sc_hd__xor3_1,"Spice_Primitive=X
Spice_Model=sky130_fd_sc_hd__xor3_1
Spice_Netlist_Enabled=Y
Spice_Lib_File=sky130_fd_sc_hd.spice"
Pin,Name,Type,Style,Side
1,A,input,line,left
2,B,input,line,left
3,C,input,line,left
4,VGND,power_in,line,bottom
5,VNB,power_in,line,bottom
6,VPB,power_in,line,top
7,VPWR,power_in,line,top
8,X,output,line,right
